benchmark,num_groups,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-misses:uk,branches:uk,cpu-cycles:uk,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions:uk,l3_cache_accesses,l3_misses,l1d_miss_rate,l1i_miss_rate
basicmath_small,1,516.0,20390150.0,1036.0,8456913.0,105370.0,9490136.0,49608627.0,71.0,12867938.0,0.0,0.0,108286610.0,1118.0,1118.0,2.530633663803356e-05,0.00012250332952461494
bitcount,1,558.0,2642135.0,1016.0,1600906.0,10849.0,6976211.0,20685854.0,81.0,2337378.0,0.0,0.0,67436222.0,1100.0,1100.0,0.00021119284215227459,0.0006346406347405781
crc_large,1,1112.0,239750203.0,927.0,159777391.0,4069.0,79927685.0,532844039.0,76.0,186447328.0,0.0,0.0,1225069596.0,1154.0,1154.0,4.6381608277512075e-06,5.80182211136493e-06
crc_small,1,1113.0,12335038.0,927.0,8221704.0,987.0,4114412.0,27519914.0,75.0,9593848.0,0.0,0.0,63037866.0,1154.0,1154.0,9.023077188736671e-05,0.00011275034956257243
dijkstra_large,1,276086.0,56674900.0,1006.0,18612230.0,156635.0,45293757.0,127976256.0,68003.0,37803844.0,0.0,0.0,363578361.0,2034.0,2034.0,0.00487139809686475,5.405048186058307e-05
dijkstra_small,1,54395.0,13395630.0,996.0,4483399.0,33916.0,9975336.0,29257287.0,14030.0,8839002.0,0.0,0.0,82013261.0,2028.0,2028.0,0.004060652615815755,0.00022215287999127447
fft_large,1,140540.0,120433241.0,1174.0,46222459.0,1419273.0,49814828.0,234627567.0,1207.0,79242043.0,0.0,0.0,608744540.0,10286.0,9592.0,0.0011669535655857671,2.539890835318822e-05
fft_small,1,5975.0,13432525.0,1145.0,5062439.0,149059.0,5681960.0,25929920.0,77.0,8767006.0,0.0,0.0,67437427.0,2402.0,2402.0,0.00044481584810004076,0.0002261755647821139
gsm_large,1,1227.0,356242328.0,132405.0,99600141.0,2078177.0,58404163.0,728531403.0,335.0,272386944.0,0.0,0.0,1921813715.0,1656.0,1656.0,3.444284700497466e-06,0.0013293655879463063
gsm_small,1,1184.0,6568750.0,5183.0,1859364.0,45355.0,1099668.0,13698159.0,91.0,5019993.0,0.0,0.0,35500589.0,1607.0,1607.0,0.00018024738344433872,0.0027875122891483323
qsort_large,1,839425.0,90246066.0,1042.0,44299716.0,707562.0,60997355.0,218728743.0,3960.0,58429960.0,0.0,0.0,556275924.0,247995.0,38728.0,0.009301513486471532,2.352159548833225e-05
qsort_small,1,399.0,3654.0,749.0,2311.0,619.0,2131.0,85130.0,83.0,2283.0,0.0,0.0,15475.0,872.0,872.0,0.10919540229885058,0.3241021202942449
sha_large,1,14150.0,16891082.0,1925.0,10859344.0,4789.0,4739892.0,57409610.0,650.0,18750651.0,0.0,0.0,160297439.0,4189.0,4189.0,0.0008377201649959428,0.00017726669308937998
sha_small,1,14150.0,1675788.0,1926.0,1076242.0,4439.0,506875.0,5966692.0,651.0,1851455.0,0.0,0.0,15692859.0,4190.0,4190.0,0.008443788832477617,0.0017895603405182106
susan_large,1,16784.0,80496940.0,893.0,50238616.0,1873.0,27008886.0,234714231.0,161.0,78143368.0,0.0,0.0,680737225.0,4927.0,4927.0,0.00020850482018322684,1.7775171195002664e-05
susan_small,1,2071.0,5293860.0,860.0,3295910.0,982.0,1775982.0,15522579.0,114.0,5130313.0,0.0,0.0,44667670.0,1562.0,1562.0,0.0003912079276747024,0.000260929454991186
